Year,Week,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2017,1,20.8,25.6,9.8,8.6,21.0,13.2,4.8,45.6,43.0,18.6,35.4,12.6,18.4,20.0,27.6,6.2,10.8,56.6,18.4,7.8,25.0,49.0,17.2,8.0,26.4,10.0,12.8,18.8,6.2,10.4,18.0,6.0,14.8,11.2,9.4,23.2,,29.4,6.6,20.7,22.4,27.6,30.0,31.8,50.7,6.2,42.6,31.6,10.0,22.0
2017,2,54.0,0.2,14.2,21.4,74.2,2.6,40.6,37.2,0.0,2.8,0.0,4.6,57.8,3.0,0.0,11.2,19.0,31.8,0.0,24.8,7.0,17.6,68.6,33.0,4.0,16.4,10.4,2.0,0.8,55.0,22.4,0.0,0.4,0.0,58.0,21.2,3.4,7.6,41.2,14.8,1.6,45.2,2.4,40.6,49.2,0.0,1.0,50.8,48.0,0.0
2017,3,149.6,145.2,92.8,72.6,177.1,35.2,67.2,96.0,,80.2,72.0,87.8,101.8,40.0,84.6,51.0,75.6,147.2,,152.8,93.2,116.0,141.4,96.8,58.2,94.8,110.8,101.6,38.4,197.0,155.4,35.0,38.2,57.2,192.6,98.8,,52.2,127.4,131.2,32.2,128.2,81.4,133.0,157.3,17.8,57.0,169.8,74.6,70.6
2017,4,120.0,93.0,124.6,74.6,110.9,117.2,81.8,84.2,81.0,106.6,95.2,109.0,110.8,129.8,101.0,99.4,111.2,83.4,,86.4,98.2,91.2,93.0,109.8,85.4,80.4,116.9,95.2,109.8,94.6,107.6,104.4,118.2,99.0,103.4,93.6,119.4,89.6,116.6,143.5,123.4,78.0,92.8,83.8,87.6,98.2,78.0,77.4,110.0,117.4
2017,5,46.0,2.4,16.6,69.0,91.7,13.8,67.8,86.6,4.6,17.4,3.8,24.6,95.4,10.8,22.4,21.8,16.8,125.8,,37.8,11.6,30.0,71.6,135.4,27.0,32.2,13.0,23.0,16.6,27.4,31.2,7.8,20.8,10.8,23.8,92.8,17.6,32.2,121.6,27.6,7.6,54.0,23.0,78.4,98.3,11.4,32.6,37.0,78.6,9.6
2017,6,62.0,12.2,35.0,63.8,40.6,51.6,36.2,23.4,28.6,110.2,22.2,82.6,37.6,85.6,63.8,43.2,44.4,43.0,,41.6,52.2,59.0,32.6,42.4,74.6,51.4,31.8,53.4,45.4,67.4,42.6,31.8,42.8,14.6,58.8,40.0,99.2,84.0,49.2,47.9,58.4,30.0,,,41.0,18.4,27.8,51.2,83.6,7.8
2017,7,23.6,8.2,20.0,14.8,23.8,9.2,19.0,10.2,19.0,7.8,2.4,12.8,22.8,18.2,9.2,9.6,15.8,16.4,,11.2,7.8,11.8,13.6,24.8,10.8,14.0,11.2,13.0,9.0,14.8,13.0,6.0,12.2,11.0,22.6,24.6,10.0,7.8,23.2,12.9,20.6,10.0,,,12.2,2.4,12.2,11.8,28.2,7.2
2017,8,59.4,,41.6,57.8,48.2,38.8,34.8,70.2,114.8,17.4,118.2,28.0,42.2,52.0,23.0,39.8,43.6,49.0,,48.8,59.4,49.6,48.8,53.2,44.0,26.0,77.6,28.8,29.2,54.4,29.4,64.0,30.4,81.3,52.4,65.4,30.8,61.6,27.6,61.5,65.6,63.2,,75.4,64.4,23.4,95.4,52.0,39.0,33.2
2017,9,57.2,,52.4,68.0,66.8,99.6,51.4,85.0,97.2,47.6,72.8,56.0,61.2,71.2,55.4,86.8,58.8,45.0,,,95.0,89.6,77.8,45.0,94.0,81.8,92.6,70.4,79.0,77.0,60.2,83.2,79.0,59.0,62.4,71.6,47.2,87.4,44.4,95.0,79.2,101.4,,54.4,51.9,93.6,67.4,70.2,64.6,37.4
2017,10,40.4,26.2,24.6,6.8,33.5,25.0,0.0,5.0,36.0,40.2,23.8,25.2,4.6,52.0,32.6,46.4,41.4,20.4,,,94.2,38.6,22.8,0.2,89.0,48.8,117.6,15.2,61.8,37.8,34.4,89.8,29.2,17.7,39.2,0.0,41.2,105.6,2.4,96.6,27.0,55.8,,17.0,13.6,20.4,14.8,59.6,0.2,6.2
2017,11,2.4,12.2,13.8,9.0,55.4,33.0,0.0,32.8,38.0,13.4,15.4,26.2,7.4,9.0,33.4,3.8,8.8,13.0,,,58.0,52.2,20.6,0.4,29.0,22.4,47.6,53.0,0.2,10.6,15.2,38.2,0.8,65.4,17.8,1.0,9.8,48.0,7.8,70.0,10.6,37.4,,21.0,42.7,6.2,29.6,41.2,2.2,7.2
2017,12,22.6,15.8,,23.8,32.4,14.6,21.8,32.2,31.2,76.4,19.6,39.6,64.0,69.2,80.6,22.2,,53.4,,,23.4,82.0,,24.6,68.4,58.8,22.2,38.6,15.0,24.2,51.0,17.0,17.8,36.2,19.4,32.2,102.8,40.2,19.8,17.5,51.6,28.6,,73.8,72.0,12.4,20.8,57.4,27.6,5.6
